0181689	Minority Report	2002	145	Action,Crime,Mystery
0467406	Juno	2007	96	Comedy,Drama
0075148	Rocky	1976	120	Drama,Sport
0365748	Shaun of the Dead	2004	99	Comedy,Horror
0450259	Blood Diamond	2006	143	Adventure,Drama,Thriller
3748528	Rogue One: A Star Wars Story	2016	133	Action,Adventure,Sci-Fi
0120363	Toy Story 2	1999	92	Adventure,Animation,Comedy
0451279	Wonder Woman	2017	141	Action,Adventure,Fantasy
0343818	I, Robot	2004	115	Action,Crime,Drama
1323594	Despicable Me	2010	95	Animation,Comedy,Family
0469494	There Will Be Blood	2007	158	Drama
0071853	Monty Python and the Holy Grail	1975	91	Adventure,Comedy,Fantasy
1798709	Her	2013	126	Drama,Romance,Sci-Fi
0413300	Spider-Man 3	2007	139	Action,Adventure,Sci-Fi
1156398	Zombieland	2009	88	Adventure,Comedy,Horror
1483013	Oblivion	2013	124	Action,Adventure,Mystery
0409459	Watchmen	2009	162	Action,Drama,Mystery
0364569	Oldboy	2003	120	Action,Drama,Mystery
0945513	Source Code	2011	93	Sci-Fi,Thriller
0332452	Troy	2004	163	Drama,History,Romance
0376994	X-Men: The Last Stand	2006	104	Action,Adventure,Sci-Fi
1408101	Star Trek: Into Darkness	2013	132	Action,Adventure,Sci-Fi
1298650	Pirates of the Caribbean: On Stranger Tides	2011	136	Action,Adventure,Fantasy
1663662	Pacific Rim	2013	131	Action,Adventure,Sci-Fi
0373889	Harry Potter and the Order of the Phoenix	2007	138	Adventure,Family,Fantasy
5013056	Dunkirk	2017	106	Action,Drama,History
0095953	Rain Man	1988	133	Drama
1022603	500 Days of Summer	2009	95	Comedy,Drama,Romance
2527336	Star Wars: The Last Jedi	2017	152	Action,Adventure,Fantasy
3896198	Guardians of the Galaxy Vol. 2	2017	136	Action,Adventure,Comedy
1570728	Crazy, Stupid, Love.	2011	118	Comedy,Drama,Romance
2310332	The Hobbit: The Battle of the Five Armies	2014	144	Adventure,Fantasy
1825683	Black Panther	2018	134	Action,Adventure,Sci-Fi
0458525	X-Men Origins: Wolverine	2009	107	Action,Adventure,Sci-Fi
1411697	The Hangover Part II	2011	102	Comedy,Mystery
1343092	The Great Gatsby	2013	143	Drama,Romance
0144084	American Psycho	2000	101	Crime,Drama
1229238	Mission: Impossible - Ghost Protocol	2011	132	Action,Adventure,Thriller
0206634	Children of Men	2006	109	Drama,Sci-Fi,Thriller
0425112	Hot Fuzz	2007	121	Action,Comedy
1659337	The Perks of Being a Wallflower	2012	103	Drama,Romance
3460252	The Hateful Eight	2015	187	Crime,Drama,Mystery
0289879	The Butterfly Effect	2004	113	Drama,Sci-Fi,Thriller
3501632	Thor: Ragnarok	2017	130	Action,Adventure,Comedy
0096874	Back to the Future Part II	1989	108	Adventure,Comedy,Sci-Fi
1800241	American Hustle	2013	138	Crime,Drama
2911666	John Wick	2014	101	Action,Crime,Thriller
0926084	Harry Potter and the Deathly Hallows: Part 1	2010	146	Adventure,Family,Fantasy
3783958	La La Land	2016	128	Comedy,Drama,Music
0242653	The Matrix Revolutions	2003	129	Action,Sci-Fi
0099487	Edward Scissorhands	1990	105	Drama,Fantasy,Romance
0470752	Ex Machina	2014	108	Drama,Mystery,Sci-Fi
0356910	Mr. & Mrs. Smith	2005	120	Action,Comedy,Crime
0057012	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	1964	95	Comedy
0112641	Casino	1995	178	Crime,Drama
0449059	Little Miss Sunshine	2006	101	Comedy,Drama
0417741	Harry Potter and the Half-Blood Prince	2009	153	Adventure,Family,Fantasy
0448157	Hancock	2008	92	Action,Drama,Fantasy
